User_ID,Product_ID,Gender,Age_Group,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category,Purchase_Amount
1000001,P00069042,F,0-17,10,A,2,Single,3,83.70
1000001,P00248942,F,0-17,10,A,2,Single,1,152.00
1000001,P00087842,F,0-17,10,A,2,Single,12,14.22
1000001,P00085442,F,0-17,10,A,2,Single,12,10.57
1000002,P00285442,M,55+,16,C,4+,Single,8,79.69
1000003,P00193542,M,26-35,15,A,3,Single,1,152.27
1000004,P00184942,M,46-50,7,B,2,Married,1,192.15
1000004,P00346142,M,46-50,7,B,2,Married,1,158.54
1000004,P0097242,M,46-50,7,B,2,Married,1,156.86
1000005,P00274942,M,26-35,20,A,1,Married,8,78.71
1000005,P00251242,M,26-35,20,A,1,Married,5,52.54
1000005,P00014542,M,26-35,20,A,1,Married,8,39.57
1000005,P00031342,M,26-35,20,A,1,Married,8,60.73
1000005,P00145042,M,26-35,20,A,1,Married,1,156.65
1000006,P00231342,F,51-55,9,A,1,Single,5,53.78
1000006,P00190242,F,51-55,9,A,1,Single,4,20.79
1000006,P0096642,F,51-55,9,A,1,Single,2,130.55
1000006,P00058442,F,51-55,9,A,1,Single,5,88.51
1000007,P00036842,M,36-45,1,B,1,Married,1,117.88
1000008,P00249542,M,26-35,12,C,4+,Married,1,196.14
1000008,P00220442,M,26-35,12,C,4+,Married,5,85.84
1000008,P00156442,M,26-35,12,C,4+,Married,8,98.72
1000008,P00213742,M,26-35,12,C,4+,Married,8,97.43
1000008,P00214442,M,26-35,12,C,4+,Married,8,59.82
1000008,P00303442,M,26-35,12,C,4+,Married,1,119.27
1000009,P00135742,M,26-35,17,C,0,Single,6,166.62
1000009,P00039942,M,26-35,17,C,0,Single,8,58.87
1000009,P00161442,M,26-35,17,C,0,Single,5,69.73
1000009,P00078742,M,26-35,17,C,0,Single,5,53.91
1000010,P00085942,F,36-45,1,B,4+,Married,2,163.52
1000010,P00118742,F,36-45,1,B,4+,Married,5,88.86
1000010,P00297942,F,36-45,1,B,4+,Married,8,58.75
1000010,P00266842,F,36-45,1,B,4+,Married,5,88.54
1000010,P00058342,F,36-45,1,B,4+,Married,3,109.46
1000010,P00032442,F,36-45,1,B,4+,Married,5,51.52
1000010,P00105942,F,36-45,1,B,4+,Married,5,70.89
1000010,P00182642,F,36-45,1,B,4+,Married,2,129.09
1000010,P00186942,F,36-45,1,B,4+,Married,5,87.70
1000010,P00155442,F,36-45,1,B,4+,Married,1,152.12
1000010,P00221342,F,36-45,1,B,4+,Married,1,157.05
1000010,P00087242,F,36-45,1,B,4+,Married,14,79.47
1000010,P00111142,F,36-45,1,B,4+,Married,1,189.63
1000010,P00259342,F,36-45,1,B,4+,Married,5,87.18
1000010,P0094542,F,36-45,1,B,4+,Married,2,164.06
1000010,P00148642,F,36-45,1,B,4+,Married,6,126.42
1000010,P00312142,F,36-45,1,B,4+,Married,8,100.07
1000010,P00113242,F,36-45,1,B,4+,Married,1,115.62
1000011,P00192642,F,26-35,1,C,1,Single,8,61.71
1000011,P00110842,F,26-35,1,C,1,Single,1,193.27
1000011,P00189642,F,26-35,1,C,1,Single,8,80.27
1000012,P00304242,M,26-35,12,C,2,Single,1,152.46
1000012,P00365242,M,26-35,12,C,2,Single,5,68.65
1000013,P00129542,M,46-50,1,C,3,Married,8,58.39
1000013,P00140742,M,46-50,1,C,3,Married,1,159.12
1000013,P00182342,M,46-50,1,C,3,Married,1,121.07
1000014,P00276642,M,36-45,0,C,0,Single,8,58.48
1000015,P00334242,M,26-35,7,A,1,Single,1,196.53
1000015,P00247542,M,26-35,7,A,1,Single,8,59.58
1000015,P00338442,M,26-35,7,A,1,Single,1,114.15
1000015,P00275142,M,26-35,7,A,1,Single,5,53.80
1000015,P00333042,M,26-35,7,A,1,Single,5,35.94
1000015,P00166242,M,26-35,7,A,1,Single,8,42.09
1000015,P00161942,M,26-35,7,A,1,Single,5,54.07
1000015,P00348242,M,26-35,7,A,1,Single,8,78.03
1000015,P00042142,M,26-35,7,A,1,Single,1,114.58
1000016,P00244242,F,36-45,0,C,0,Married,1,117.55
1000016,P00217742,F,36-45,0,C,0,Married,5,87.02
1000017,P00019342,M,51-55,1,C,0,Single,1,158.72
1000017,P00100642,M,51-55,1,C,0,Single,5,86.09
